=== 交易流水帳 (3月至今 - 五模式精準版) ===
起始資金: 2,000,000 | 最終價值: 3,350,149
--------------------------------------------------------------------------------
2026-03-02   | 7712   | BUY  | 113.50   | -        |                     
2026-03-02   | 3234   | BUY  | 91.20    | -        |                     
2026-03-03   | 7712   | SELL | 103.50   | -8.8%    | 停損(HOLY_GRAIL_BREAKOUT)
2026-03-03   | 2485   | BUY  | 53.10    | -        |                     
2026-03-03   | 6279   | BUY  | 117.50   | -        |                     
2026-03-04   | 3234   | SELL | 86.20    | -5.5%    | 移動停損(HOLY_GRAIL_BREAKOUT)
2026-03-04   | 2485   | SELL | 49.80    | -6.2%    | 停損(HOLY_GRAIL_BREAKOUT)
2026-03-04   | 6279   | SELL | 109.00   | -7.2%    | 停損(HOLY_GRAIL_BREAKOUT)
2026-03-05   | 3499   | BUY  | 17.75    | -        |                     
2026-03-06   | 3672   | BUY  | 11.55    | -        |                     
2026-03-09   | 6674   | BUY  | 19.35    | -        |                     
2026-03-10   | 3499   | SELL | 16.70    | -5.9%    | 停損(HOLY_GRAIL_BREAKOUT)
2026-03-13   | 6674   | SELL | 18.15    | -6.2%    | 停損(HOLY_GRAIL_BREAKOUT)
2026-03-13   | 6742   | BUY  | 40.90    | -        |                     
2026-03-17   | 1723   | BUY  | 75.30    | -        |                     
2026-03-17   | 1773   | BUY  | 151.00   | -        |                     
2026-03-17   | 1711   | BUY  | 37.10    | -        |                     
2026-03-17   | 1735   | BUY  | 28.70    | -        |                     
2026-03-18   | 6451   | BUY  | 263.50   | -        |                     
2026-03-19   | 6742   | SELL | 41.60    | 1.7%     | 保本(HOLY_GRAIL_BREAKOUT)
2026-03-19   | 1711   | SELL | 43.25    | 16.6%    | 分批減碼(HOLY_GRAIL_BREAKOUT) (+10%)
2026-03-19   | 1735   | SELL | 31.70    | 10.5%    | 分批減碼(HOLY_GRAIL_BREAKOUT) (+10%)
2026-03-20   | 1735   | SELL | 28.95    | 0.9%     | 移動停損(HOLY_GRAIL_BREAKOUT)
2026-03-20   | 1809   | BUY  | 35.75    | -        |                     
