code,name,market,industry,listing_date,category,code_len
1101,台泥,上市,水泥工業,1962/2/9,股票,4
1102,亞泥,上市,水泥工業,1962/6/8,股票,4
1103,嘉泥,上市,水泥工業,1969/11/14,股票,4
1104,環泥,上市,水泥工業,1971/2/1,股票,4
1108,幸福,上市,水泥工業,1990/6/6,股票,4
1109,信大,上市,水泥工業,1991/12/5,股票,4
1110,東泥,上市,水泥工業,1994/10/22,股票,4
1201,味全,上市,食品工業,1962/2/9,股票,4
1203,味王,上市,食品工業,1964/8/24,股票,4
1210,大成,上市,食品工業,1978/5/20,股票,4
1213,大飲,上市,食品工業,1981/4/10,股票,4
1215,卜蜂,上市,食品工業,1987/7/27,股票,4
1216,統一,上市,食品工業,1987/12/28,股票,4
1217,愛之味,上市,食品工業,1989/10/28,股票,4
1218,泰山,上市,食品工業,1989/11/11,股票,4
1219,福壽,上市,食品工業,1990/12/1,股票,4
1220,台榮,上市,食品工業,1991/11/20,股票,4
1225,福懋油,上市,食品工業,1993/9/27,股票,4
1227,佳格,上市,食品工業,1994/4/9,股票,4
1229,聯華,上市,食品工業,1976/7/19,股票,4
1231,聯華食,上市,食品工業,1995/11/2,股票,4
1232,大統益,上市,食品工業,1996/2/9,股票,4
1233,天仁,上市,食品工業,1999/1/20,股票,4
1234,黑松,上市,食品工業,1999/3/12,股票,4
1235,興泰,上市,食品工業,2000/9/11,股票,4
1236,宏亞,上市,食品工業,2001/9/17,股票,4
1256,鮮活果汁-KY,上市,食品工業,2016/3/17,股票,4
1301,台塑,上市,塑膠工業,1964/7/27,股票,4
1303,南亞,上市,塑膠工業,1967/11/5,股票,4
1304,台聚,上市,塑膠工業,1972/5/20,股票,4
1305,華夏,上市,塑膠工業,1973/3/5,股票,4
1307,三芳,上市,塑膠工業,1985/11/23,股票,4
1308,亞聚,上市,塑膠工業,1986/6/20,股票,4
1309,台達化,上市,塑膠工業,1986/6/27,股票,4
1310,台苯,上市,塑膠工業,1987/8/6,股票,4
1312,國喬,上市,塑膠工業,1988/12/21,股票,4
1313,聯成,上市,塑膠工業,1989/3/27,股票,4
1314,中石化,上市,塑膠工業,1991/7/12,股票,4
1315,達新,上市,塑膠工業,1992/5/9,股票,4
1316,上曜,上市,建材營造業,1992/10/15,股票,4
1319,東陽,上市,汽車工業,1994/12/12,股票,4
1321,大洋,上市,塑膠工業,1999/1/26,股票,4
1323,永裕,上市,塑膠工業,2000/9/11,股票,4
1324,地球,上市,塑膠工業,2000/9/11,股票,4
1325,恆大,上市,塑膠工業,2000/9/11,股票,4
1326,台化,上市,塑膠工業,1984/12/20,股票,4
1337,再生-KY,上市,塑膠工業,2011/7/1,股票,4
1338,廣華-KY,上市,汽車工業,2012/12/19,股票,4
1339,昭輝,上市,汽車工業,2012/4/24,股票,4
1340,勝悅-KY,上市,塑膠工業,2013/12/6,股票,4
1341,富林-KY,上市,塑膠工業,2018/12/24,股票,4
1342,八貫,上市,其他業,2020/11/24,股票,4
1402,遠東新,上市,紡織纖維,1967/4/14,股票,4
1409,新纖,上市,紡織纖維,1973/8/31,股票,4
1410,南染,上市,紡織纖維,1973/10/18,股票,4
1413,宏洲,上市,紡織纖維,1975/12/23,股票,4
