正在執行最佳組合回測以生成報表...

====================================================================================================
  一、 詳細交易流水帳 (按日期排序)
====================================================================================================
    日期      代號   方向    股數      價格      變動金額      實現盈虧  
----------------------------------------------------------------------------------------------------
20250604    3017     買入        293    681.00        199,533           0
20250604    6274     買入      1,044    191.50        199,926           0
20250604    6472     買入        241    829.00        199,789           0
20250604    2059     買入         92   2170.00        199,640           0
20250604    2376     買入        690    289.50        199,755           0
20250604    3131     買入        158   1260.00        199,080           0
20250604    3078     買入      2,395     83.50        199,982           0
20250604    2603     買入        787    254.00        199,898           0
20250604    8114     買入        647    309.00        199,923           0
20250604    4749     買入        312    640.00        199,680           0
20250605    3078     賣出      2,395     81.00        193,984      -6,283
20250605    2603     賣出        787    246.38        193,902      -6,281
20250605    8210     買入        113    340.00         38,420           0
20250605    2408     買入        770     50.10         38,577           0
20250605    6805     買入         60    639.00         38,340           0
20250605    2731     買入        229    168.00         38,472           0
20250605    4763     買入        159    242.00         38,478           0
20250605    6442     買入         86    445.00         38,270           0
20250605    3661     買入         13   2840.00         36,920           0
20250605    6187     買入        122    315.00         38,430           0
20250605    9958     買入        193    200.00         38,600           0
20250605    2211     買入        418     92.20         38,540           0
20250606    8114     賣出        647    299.73        193,927      -6,281
20250606    2731     賣出        229    162.96         37,318      -1,209
20250606    4763     賣出        159    234.74         37,324      -1,209
20250606    6531     買入         90    298.50         26,865           0
20250606    6584     買入        181    149.00         26,969           0
20250606    4763     買入        111    243.00         26,973           0
20250606    8299     買入         51    527.00         26,877           0
20250606    2368     買入         97    276.00         26,772           0
20250606    6191     買入        325     83.00         26,975           0
20250606    1513     買入        171    157.00         26,847           0
20250606    3563     買入         49    549.00         26,901           0
20250606    6515     買入         24   1085.00         26,040           0
20250606    8038     買入        844     31.95         26,966           0
20250609    4763     賣出        111    235.71         26,164        -847
20250609    3661     賣出         13   2754.84         35,813      -1,160
20250609    2211     賣出        418     91.50         38,247        -348
20250609    6191     賣出        325     80.51         26,165        -848
20250609    6944     買入         27    456.00         12,312           0
20250609    5234     買入         53    238.00         12,614           0
20250609    5274     買入          3   4190.00         12,570           0
20250609    3015     買入        203     62.60         12,708           0
20250609    3653     買入          9   1360.00         12,240           0
20250609    3260     買入        506     25.12         12,713           0
20250609    3004     買入         85    148.00         12,580           0
20250609    5284     買入         69    182.50         12,592           0
20250609    5475     買入        575     22.10         12,708           0
20250609    1785     買入        213     59.50         12,674           0
20250610    3004     賣出         85    143.56         12,203        -395
20250610    5475     賣出        575     21.44         12,326        -399
20250610    3167     買入         21    121.50          2,552           0
20250610    6223     買入          2    860.00          1,720           0
20250610    2543     買入         28     91.50          2,562           0
20250610    6919     買入         10    249.75          2,498           0
20250610    9802     買入         23    108.00          2,484           0
20250610    2345     買入          3    740.00          2,220           0
20250610    3694     買入         43     58.50          2,516           0
20250610    2429     買入         34     74.00          2,516           0
20250610    8358     買入         44     57.80          2,543           0
20250610    4722     買入         37     69.20          2,560           0
20250611    6805     賣出         30    763.00         22,890       3,693
20250611    6584     賣出         90    175.50         15,795       2,366
20250611    8038     賣出        422     39.05         16,479       2,977
20250611    2543     賣出         28     88.77          2,485         -81
20250611    2429     賣出         34     71.79          2,441         -79
20250611    3013     買入         53    114.50          6,068           0
20250611    8996     買入         23    266.00          6,118           0
20250611    2731     買入         35    170.50          5,968           0
20250611    2344     買入        321     19.10          6,131           0
20250611    2429     買入         78     77.90          6,076           0
20250611    2383     買入          7    875.00          6,125           0
20250611    4583     買入          7    872.00          6,104           0
20250611    7769     買入          5   1183.07          5,915           0
20250611    5439     買入         28    216.00          6,048           0
20250611    6838     買入        175     34.95          6,116           0
20250612    3131     賣出         79   1550.00        122,450      22,768
20250612    3015     賣出        203     60.72         12,327        -399
20250612    3260     賣出        506     24.37         12,332        -399
20250612    9802     賣出         23    108.50          2,496           7
20250612    2429     賣出         78     75.57          5,894        -191
20250612    4583     賣出          7    845.89          5,921        -192
20250612    2455     買入        135    119.00         16,065           0
